run_count,sample_index,camera_id,exposure_time,unix_timestamp,datetime,filename
1,0,1,997531.0,1741388958.972982,2025-03-07 18:09:18.972982,captured_images\2025-03-07_18-02-32\4x4\Sample_0\sample_0_20250307_180918_0001_1.tif
1,1,0,737850.0,1741388977.645343,2025-03-07 18:09:37.645343,captured_images\2025-03-07_18-02-32\4x4\Sample_1\sample_1_20250307_180937_0001_0.tif
1,1,1,889672.0,1741388977.645343,2025-03-07 18:09:37.645343,captured_images\2025-03-07_18-02-32\4x4\Sample_1\sample_1_20250307_180937_0001_1.tif
1,2,0,675760.0,1741388996.263721,2025-03-07 18:09:56.263721,captured_images\2025-03-07_18-02-32\4x4\Sample_2\sample_2_20250307_180956_0001_0.tif
1,2,1,850304.0,1741388996.263721,2025-03-07 18:09:56.263721,captured_images\2025-03-07_18-02-32\4x4\Sample_2\sample_2_20250307_180956_0001_1.tif
1,3,0,614600.0,1741389014.855627,2025-03-07 18:10:14.855627,captured_images\2025-03-07_18-02-32\4x4\Sample_3\sample_3_20250307_181014_0001_0.tif
1,3,1,811900.0,1741389014.855627,2025-03-07 18:10:14.855627,captured_images\2025-03-07_18-02-32\4x4\Sample_3\sample_3_20250307_181014_0001_1.tif
1,4,0,655806.0,1741389033.471277,2025-03-07 18:10:33.471277,captured_images\2025-03-07_18-02-32\4x4\Sample_4\sample_4_20250307_181033_0001_0.tif
1,4,1,800841.0,1741389033.471277,2025-03-07 18:10:33.471277,captured_images\2025-03-07_18-02-32\4x4\Sample_4\sample_4_20250307_181033_0001_1.tif
1,5,0,752230.0,1741389052.092056,2025-03-07 18:10:52.092056,captured_images\2025-03-07_18-02-32\4x4\Sample_5\sample_5_20250307_181052_0001_0.tif
1,5,1,891815.0,1741389052.092056,2025-03-07 18:10:52.092056,captured_images\2025-03-07_18-02-32\4x4\Sample_5\sample_5_20250307_181052_0001_1.tif
1,6,0,858694.0,1741389070.679136,2025-03-07 18:11:10.679136,captured_images\2025-03-07_18-02-32\4x4\Sample_6\sample_6_20250307_181110_0001_0.tif
1,6,1,985583.0,1741389070.679136,2025-03-07 18:11:10.679136,captured_images\2025-03-07_18-02-32\4x4\Sample_6\sample_6_20250307_181110_0001_1.tif
1,7,0,1000000.0,1741389089.276219,2025-03-07 18:11:29.276219,captured_images\2025-03-07_18-02-32\4x4\Sample_7\sample_7_20250307_181129_0001_0.tif
1,7,1,1000000.0,1741389089.276219,2025-03-07 18:11:29.276219,captured_images\2025-03-07_18-02-32\4x4\Sample_7\sample_7_20250307_181129_0001_1.tif
1,8,0,1000000.0,1741389107.87448,2025-03-07 18:11:47.874480,captured_images\2025-03-07_18-02-32\4x4\Sample_8\sample_8_20250307_181147_0001_0.tif
